36.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WORKFLOW,INFO
06:11:08.0 (70046)|EXECUTION_STARTED
06:11:08.0 (105682)|CODE_UNIT_STARTED|[EXTERNAL]|06636000001VcbV|VF: /apex/AprooveWraper
06:11:08.0 (323034)|VF_DESERIALIZE_VIEWSTATE_BEGIN|06636000001VcbV
06:11:08.0 (15319600)|HEAP_ALLOCATE|[72]|Bytes:3
06:11:08.0 (15383804)|HEAP_ALLOCATE|[77]|Bytes:152
06:11:08.0 (15404573)|HEAP_ALLOCATE|[342]|Bytes:408
06:11:08.0 (15426863)|HEAP_ALLOCATE|[355]|Bytes:408
06:11:08.0 (15447935)|HEAP_ALLOCATE|[467]|Bytes:48
06:11:08.0 (15487633)|HEAP_ALLOCATE|[139]|Bytes:6
06:11:08.0 (15523566)|HEAP_ALLOCATE|[50]|Bytes:5
06:11:08.0 (15549085)|HEAP_ALLOCATE|[56]|Bytes:5
06:11:08.0 (15558691)|HEAP_ALLOCATE|[64]|Bytes:7
06:11:08.0 (18677150)|VF_DESERIALIZE_VIEWSTATE_END
06:11:08.0 (20805779)|CODE_UNIT_STARTED|[EXTERNAL]|01p36000003xHdx|wrapperClassController get(contacts)
06:11:08.0 (20820789)|SYSTEM_MODE_ENTER|true
06:11:08.0 (21180254)|CODE_UNIT_STARTED|[EXTERNAL]|01p36000003xHdx|wrapperClassController invoke(getcontacts)
06:11:08.0 (21241229)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
06:11:08.0 (21248180)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:92
06:11:08.0 (21256541)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:6
06:11:08.0 (21259538)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:2
06:11:08.0 (21277481)|METHOD_ENTRY|[1]|01p36000003xHdx|wrapperClassController.wrapperClassController()
06:11:08.0 (21284802)|STATEMENT_EXECUTE|[1]
06:11:08.0 (21293908)|STATEMENT_EXECUTE|[1]
06:11:08.0 (21295370)|STATEMENT_EXECUTE|[59]
06:11:08.0 (21303245)|METHOD_EXIT|[1]|wrapperClassController
06:11:08.0 (21318792)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
06:11:08.0 (21330109)|VARIABLE_SCOPE_BEGIN|[7]|this|wrapperClassController|true|false
06:11:08.0 (21414807)|VARIABLE_ASSIGNMENT|[7]|this|{"contactList":"0x4e5679ba"}|0x34d7a262
06:11:08.0 (21430111)|STATEMENT_EXECUTE|[7]
06:11:08.0 (21486538)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this|{"contactList":"0x4e5679ba"}|0x34d7a262
06:11:08.0 (21507233)|STATEMENT_EXECUTE|[8]
06:11:08.0 (21509415)|STATEMENT_EXECUTE|[15]
06:11:08.0 (21541631)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this|{"contactList":"0x4e5679ba"}|0x34d7a262
06:11:08.0 (21563888)|CODE_UNIT_FINISHED|wrapperClassController invoke(getcontacts)
06:11:08.0 (21591905)|CODE_UNIT_FINISHED|wrapperClassController get(contacts)
06:11:08.0 (23655555)|CODE_UNIT_STARTED|[EXTERNAL]|01p36000003xHdx|selected
06:11:08.0 (23669995)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:112
06:11:08.0 (23675614)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
06:11:08.0 (23684849)|CODE_UNIT_FINISHED|selected
06:11:08.0 (23762252)|CODE_UNIT_STARTED|[EXTERNAL]|01p36000003xHdx|selected
06:11:08.0 (23778778)|CODE_UNIT_FINISHED|selected
06:11:08.0 (23849594)|CODE_UNIT_STARTED|[EXTERNAL]|01p36000003xHdx|selected
06:11:08.0 (23863989)|CODE_UNIT_FINISHED|selected
06:11:08.0 (23937864)|CODE_UNIT_STARTED|[EXTERNAL]|01p36000003xHdx|selected
06:11:08.0 (23948901)|CODE_UNIT_FINISHED|selected
06:11:08.0 (24018730)|CODE_UNIT_STARTED|[EXTERNAL]|01p36000003xHdx|selected
06:11:08.0 (24034477)|CODE_UNIT_FINISHED|selected
06:11:08.0 (24102418)|CODE_UNIT_STARTED|[EXTERNAL]|01p36000003xHdx|selected
06:11:08.0 (24116891)|CODE_UNIT_FINISHED|selected
06:11:08.0 (24186773)|CODE_UNIT_STARTED|[EXTERNAL]|01p36000003xHdx|selected
06:11:08.0 (24197850)|CODE_UNIT_FINISHED|selected
06:11:08.0 (24265902)|CODE_UNIT_STARTED|[EXTERNAL]|01p36000003xHdx|selected
06:11:08.0 (24276642)|CODE_UNIT_FINISHED|selected
06:11:08.0 (24335313)|CODE_UNIT_STARTED|[EXTERNAL]|01p36000003xHdx|selected
06:11:08.0 (24346004)|CODE_UNIT_FINISHED|selected
06:11:08.0 (24404935)|CODE_UNIT_STARTED|[EXTERNAL]|01p36000003xHdx|selected
06:11:08.0 (24415476)|CODE_UNIT_FINISHED|selected
06:11:08.0 (24474501)|CODE_UNIT_STARTED|[EXTERNAL]|01p36000003xHdx|selected
06:11:08.0 (24485063)|CODE_UNIT_FINISHED|selected
06:11:08.0 (24543905)|CODE_UNIT_STARTED|[EXTERNAL]|01p36000003xHdx|selected
06:11:08.0 (24554431)|CODE_UNIT_FINISHED|selected
06:11:08.0 (24612982)|CODE_UNIT_STARTED|[EXTERNAL]|01p36000003xHdx|selected
06:11:08.0 (24623521)|CODE_UNIT_FINISHED|selected
06:11:08.0 (24681882)|CODE_UNIT_STARTED|[EXTERNAL]|01p36000003xHdx|selected
06:11:08.0 (24696993)|CODE_UNIT_FINISHED|selected
06:11:08.0 (24764106)|CODE_UNIT_STARTED|[EXTERNAL]|01p36000003xHdx|selected
06:11:08.0 (24777352)|CODE_UNIT_FINISHED|selected
06:11:08.0 (24844230)|CODE_UNIT_STARTED|[EXTERNAL]|01p36000003xHdx|selected
06:11:08.0 (24856725)|CODE_UNIT_FINISHED|selected
06:11:08.0 (24927248)|CODE_UNIT_STARTED|[EXTERNAL]|01p36000003xHdx|selected
06:11:08.0 (24942109)|CODE_UNIT_FINISHED|selected
06:11:08.0 (25010667)|CODE_UNIT_STARTED|[EXTERNAL]|01p36000003xHdx|selected
06:11:08.0 (25024370)|CODE_UNIT_FINISHED|selected
06:11:08.0 (25091056)|CODE_UNIT_STARTED|[EXTERNAL]|01p36000003xHdx|selected
06:11:08.0 (25103612)|CODE_UNIT_FINISHED|selected
06:11:08.0 (25170882)|CODE_UNIT_STARTED|[EXTERNAL]|01p36000003xHdx|selected
06:11:08.0 (25181797)|CODE_UNIT_FINISHED|selected
06:11:08.0 (25240748)|CODE_UNIT_STARTED|[EXTERNAL]|01p36000003xHdx|selected
06:11:08.0 (25251317)|CODE_UNIT_FINISHED|selected
06:11:08.0 (25310045)|CODE_UNIT_STARTED|[EXTERNAL]|01p36000003xHdx|selected
06:11:08.0 (25320577)|CODE_UNIT_FINISHED|selected
06:11:08.0 (25379288)|CODE_UNIT_STARTED|[EXTERNAL]|01p36000003xHdx|selected
06:11:08.0 (25389701)|CODE_UNIT_FINISHED|selected
06:11:08.0 (25448140)|CODE_UNIT_STARTED|[EXTERNAL]|01p36000003xHdx|selected
06:11:08.0 (25458606)|CODE_UNIT_FINISHED|selected
06:11:08.0 (25516827)|CODE_UNIT_STARTED|[EXTERNAL]|01p36000003xHdx|selected
06:11:08.0 (25527260)|CODE_UNIT_FINISHED|selected
06:11:08.0 (25585619)|CODE_UNIT_STARTED|[EXTERNAL]|01p36000003xHdx|selected
06:11:08.0 (25596092)|CODE_UNIT_FINISHED|selected
06:11:08.0 (25659016)|CODE_UNIT_STARTED|[EXTERNAL]|01p36000003xHdx|selected
06:11:08.0 (25672429)|CODE_UNIT_FINISHED|selected
06:11:08.0 (25740250)|CODE_UNIT_STARTED|[EXTERNAL]|01p36000003xHdx|selected
06:11:08.0 (25751016)|CODE_UNIT_FINISHED|selected
06:11:08.0 (25817554)|CODE_UNIT_STARTED|[EXTERNAL]|01p36000003xHdx|selected
06:11:08.0 (25832459)|CODE_UNIT_FINISHED|selected
06:11:08.0 (25894893)|CODE_UNIT_STARTED|[EXTERNAL]|01p36000003xHdx|selected
06:11:08.0 (25910066)|CODE_UNIT_FINISHED|selected
06:11:08.0 (25977393)|CODE_UNIT_STARTED|[EXTERNAL]|01p36000003xHdx|selected
06:11:08.0 (25988173)|CODE_UNIT_FINISHED|selected
06:11:08.0 (26059945)|CODE_UNIT_STARTED|[EXTERNAL]|01p36000003xHdx|selected
06:11:08.0 (26071943)|CODE_UNIT_FINISHED|selected
06:11:08.0 (26138924)|CODE_UNIT_STARTED|[EXTERNAL]|01p36000003xHdx|selected
06:11:08.0 (26152502)|CODE_UNIT_FINISHED|selected
06:11:08.0 (26212240)|CODE_UNIT_STARTED|[EXTERNAL]|01p36000003xHdx|selected
06:11:08.0 (26223004)|CODE_UNIT_FINISHED|selected
06:11:08.0 (26281506)|CODE_UNIT_STARTED|[EXTERNAL]|01p36000003xHdx|selected
06:11:08.0 (26292204)|CODE_UNIT_FINISHED|selected
06:11:08.0 (26350685)|CODE_UNIT_STARTED|[EXTERNAL]|01p36000003xHdx|selected
06:11:08.0 (26361236)|CODE_UNIT_FINISHED|selected
06:11:08.0 (26419587)|CODE_UNIT_STARTED|[EXTERNAL]|01p36000003xHdx|selected
06:11:08.0 (26430110)|CODE_UNIT_FINISHED|selected
