36.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WORKFLOW,INFO
04:27:22.0 (486016)|EXECUTION_STARTED
04:27:22.0 (531856)|CODE_UNIT_STARTED|[EXTERNAL]|06636000002n7XB|VF: /apex/DraftsToPersonTable
04:27:22.0 (4167883)|CODE_UNIT_STARTED|[EXTERNAL]|01p360000074pQr|DraftsToPersons <init>
04:27:22.0 (4189121)|SYSTEM_MODE_ENTER|true
04:27:22.0 (4801619)|HEAP_ALLOCATE|[72]|Bytes:3
04:27:22.0 (4855186)|HEAP_ALLOCATE|[77]|Bytes:152
04:27:22.0 (4875102)|HEAP_ALLOCATE|[342]|Bytes:408
04:27:22.0 (4897504)|HEAP_ALLOCATE|[355]|Bytes:408
04:27:22.0 (4918217)|HEAP_ALLOCATE|[467]|Bytes:48
04:27:22.0 (4953380)|HEAP_ALLOCATE|[139]|Bytes:6
04:27:22.0 (4977470)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
04:27:22.0 (4982631)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:144
04:27:22.0 (4985710)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:21
04:27:22.0 (5005776)|METHOD_ENTRY|[1]|01p360000074pQr|DraftsToPersons.DraftsToPersons()
04:27:22.0 (5013797)|STATEMENT_EXECUTE|[1]
04:27:22.0 (5021936)|STATEMENT_EXECUTE|[1]
04:27:22.0 (5068299)|HEAP_ALLOCATE|[50]|Bytes:5
04:27:22.0 (5103551)|HEAP_ALLOCATE|[56]|Bytes:5
04:27:22.0 (5114631)|HEAP_ALLOCATE|[64]|Bytes:7
04:27:22.0 (5140486)|SYSTEM_MODE_ENTER|false
04:27:22.0 (5158075)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
04:27:22.0 (5162992)|STATEMENT_EXECUTE|[67]
04:27:22.0 (5169145)|SYSTEM_MODE_EXIT|false
04:27:22.0 (5180408)|METHOD_EXIT|[1]|DraftsToPersons
04:27:22.0 (5280267)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:20
04:27:22.0 (5293350)|VARIABLE_SCOPE_BEGIN|[7]|this|DraftsToPersons|true|false
04:27:22.0 (5383474)|VARIABLE_ASSIGNMENT|[7]|this|{}|0x364642ec
04:27:22.0 (5397277)|SYSTEM_MODE_ENTER|false
04:27:22.0 (5403144)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
04:27:22.0 (5407085)|STATEMENT_EXECUTE|[1]
04:27:22.0 (5410070)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
04:27:22.0 (5412343)|STATEMENT_EXECUTE|[2]
04:27:22.0 (5415410)|STATEMENT_EXECUTE|[3]
04:27:22.0 (5417769)|STATEMENT_EXECUTE|[4]
04:27:22.0 (5419769)|STATEMENT_EXECUTE|[5]
04:27:22.0 (5434606)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:6
04:27:22.0 (5472908)|STATEMENT_EXECUTE|[8]
04:27:22.0 (5482943)|SYSTEM_MODE_EXIT|false
04:27:22.0 (5505582)|CODE_UNIT_FINISHED|DraftsToPersons <init>
04:27:22.0 (5553691)|CODE_UNIT_STARTED|[EXTERNAL]|01p360000074pQr|DraftsToPersons get(Drafts)
04:27:22.0 (5562775)|SYSTEM_MODE_ENTER|true
04:27:22.0 (5580018)|CODE_UNIT_STARTED|[EXTERNAL]|01p360000074pQr|Drafts
04:27:22.0 (5600353)|CODE_UNIT_FINISHED|Drafts
04:27:22.0 (5617400)|CODE_UNIT_FINISHED|DraftsToPersons get(Drafts)
04:27:22.0 (5838060)|CODE_UNIT_STARTED|[EXTERNAL]|01p360000074pQr|DraftsToPersons get(Persons)
04:27:22.0 (5847750)|SYSTEM_MODE_ENTER|true
04:27:22.0 (5868299)|CODE_UNIT_STARTED|[EXTERNAL]|01p360000074pQr|DraftsToPersons invoke(getPersons)
04:27:22.0 (5914327)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:20
04:27:22.0 (5927954)|VARIABLE_SCOPE_BEGIN|[22]|this|DraftsToPersons|true|false
04:27:22.0 (5958177)|VARIABLE_ASSIGNMENT|[22]|this|{}|0x364642ec
04:27:22.0 (5981252)|SYSTEM_MODE_ENTER|false
04:27:22.0 (5990050)|HEAP_ALLOCATE|[24]|Bytes:5
04:27:22.0 (5996165)|STATEMENT_EXECUTE|[23]
04:27:22.0 (6070585)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this|{}|0x364642ec
04:27:22.0 (6091136)|STATEMENT_EXECUTE|[25]
04:27:22.0 (6093696)|STATEMENT_EXECUTE|[26]
04:27:22.0 (6099915)|HEAP_ALLOCATE|[26]|Bytes:41
04:27:22.0 (6116129)|HEAP_ALLOCATE|[26]|Bytes:4
04:27:22.0 (6465491)|SOQL_EXECUTE_BEGIN|[26]|Aggregations:0|SELECT id, Name FROM Person__c LIMIT 1000
04:27:22.0 (9134611)|SOQL_EXECUTE_END|[26]|Rows:2
04:27:22.0 (9154058)|HEAP_ALLOCATE|[26]|Bytes:12
04:27:22.0 (9169785)|HEAP_ALLOCATE|[26]|Bytes:97
04:27:22.0 (9208238)|HEAP_ALLOCATE|[26]|Bytes:12
