36.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WORKFLOW,INFO
06:08:29.7 (7790031)|EXECUTION_STARTED
06:08:29.7 (7833708)|CODE_UNIT_STARTED|[EXTERNAL]|06636000001VcbV|VF: /apex/AprooveWraper
06:08:29.7 (9865265)|CODE_UNIT_STARTED|[EXTERNAL]|01p36000003xHdx|wrapperClassController <init>
06:08:29.7 (9880619)|SYSTEM_MODE_ENTER|true
06:08:29.7 (10391243)|HEAP_ALLOCATE|[72]|Bytes:3
06:08:29.7 (10457964)|HEAP_ALLOCATE|[77]|Bytes:152
06:08:29.7 (10480487)|HEAP_ALLOCATE|[342]|Bytes:408
06:08:29.7 (10501332)|HEAP_ALLOCATE|[355]|Bytes:408
06:08:29.7 (10521559)|HEAP_ALLOCATE|[467]|Bytes:48
06:08:29.7 (10556756)|HEAP_ALLOCATE|[139]|Bytes:6
06:08:29.7 (10580434)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
06:08:29.7 (10585289)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:92
06:08:29.7 (10588107)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:6
06:08:29.7 (10591233)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:2
06:08:29.7 (10602088)|METHOD_ENTRY|[1]|01p36000003xHdx|wrapperClassController.wrapperClassController()
06:08:29.7 (10606429)|STATEMENT_EXECUTE|[1]
06:08:29.7 (10612539)|STATEMENT_EXECUTE|[1]
06:08:29.7 (10613788)|STATEMENT_EXECUTE|[59]
06:08:29.7 (10617617)|METHOD_EXIT|[1]|wrapperClassController
06:08:29.7 (10641958)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
06:08:29.7 (10655090)|VARIABLE_SCOPE_BEGIN|[1]|this|wrapperClassController|true|false
06:08:29.7 (10721208)|VARIABLE_ASSIGNMENT|[1]|this|{}|0x4a8d4f20
06:08:29.7 (10736122)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:6
06:08:29.7 (10784384)|STATEMENT_EXECUTE|[1]
06:08:29.7 (10786717)|STATEMENT_EXECUTE|[4]
06:08:29.7 (10804566)|CODE_UNIT_FINISHED|wrapperClassController <init>
06:08:29.7 (10857956)|CODE_UNIT_STARTED|[EXTERNAL]|01p36000003xHdx|wrapperClassController get(contacts)
06:08:29.7 (10864982)|SYSTEM_MODE_ENTER|true
06:08:29.7 (10886596)|CODE_UNIT_STARTED|[EXTERNAL]|01p36000003xHdx|wrapperClassController invoke(getcontacts)
06:08:29.7 (10917762)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
06:08:29.7 (10928428)|VARIABLE_SCOPE_BEGIN|[7]|this|wrapperClassController|true|false
06:08:29.7 (10943892)|VARIABLE_ASSIGNMENT|[7]|this|{}|0x4a8d4f20
06:08:29.7 (10958090)|STATEMENT_EXECUTE|[7]
06:08:29.7 (11002789)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this|{}|0x4a8d4f20
06:08:29.7 (11020885)|STATEMENT_EXECUTE|[8]
06:08:29.7 (11022482)|STATEMENT_EXECUTE|[9]
06:08:29.7 (11030648)|HEAP_ALLOCATE|[9]|Bytes:4
06:08:29.7 (11163901)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this|{}|0x4a8d4f20
06:08:29.7 (11200168)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
06:08:29.7 (11222509)|VARIABLE_ASSIGNMENT|[EXTERNAL]|value|{"s":1,"v":[]}|0x5164f4c7
06:08:29.7 (11240060)|VARIABLE_ASSIGNMENT|[4]|this.contactList|{"s":1,"v":[]}|0x4a8d4f20
06:08:29.7 (11251832)|HEAP_ALLOCATE|[10]|Bytes:32
06:08:29.7 (11264048)|HEAP_ALLOCATE|[10]|Bytes:4
06:08:29.7 (11285852)|HEAP_ALLOCATE|[50]|Bytes:5
06:08:29.7 (11303677)|HEAP_ALLOCATE|[56]|Bytes:5
06:08:29.7 (11313250)|HEAP_ALLOCATE|[64]|Bytes:7
06:08:29.7 (11589675)|SOQL_EXECUTE_BEGIN|[10]|Aggregations:0|SELECT Id, Name FROM Opportunity
06:08:29.7 (73312229)|SOQL_EXECUTE_END|[10]|Rows:44
06:08:29.7 (73345809)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:180
06:08:29.7 (73703461)|HEAP_ALLOCATE|[10]|Bytes:49
06:08:29.7 (73714601)|HEAP_ALLOCATE|[10]|Bytes:8
06:08:29.7 (73732845)|SYSTEM_METHOD_ENTRY|[7]|QueryLocatorIterator.QueryLocatorIterator()
06:08:29.7 (73736585)|STATEMENT_EXECUTE|[7]
06:08:29.7 (73751052)|SYSTEM_METHOD_EXIT|[7]|QueryLocatorIterator
06:08:29.7 (73763866)|HEAP_ALLOCATE|[10]|Bytes:28
06:08:29.7 (73841029)|HEAP_ALLOCATE|[10]|Bytes:180
06:08:29.7 (73859366)|HEAP_ALLOCATE|[10]|Bytes:8
06:08:29.7 (73862094)|HEAP_ALLOCATE|[10]|Bytes:8
06:08:29.7 (73871801)|VARIABLE_SCOPE_BEGIN|[15]|this|Database.QueryLocatorIterator|true|false
06:08:29.7 (73923290)|VARIABLE_ASSIGNMENT|[15]|this|{}|0x7ea9ec01
06:08:29.7 (73927335)|VARIABLE_SCOPE_BEGIN|[15]|values|List<SObject>|true|false
06:08:29.7 (73952603)|VARIABLE_ASSIGNMENT|[15]|values|{"s":1,"v":"List of size 44 too large to display"}|0x5130fd84
06:08:29.7 (73956008)|VARIABLE_SCOPE_BEGIN|[15]|ql|Database.QueryLocator|true|false
06:08:29.7 (73973440)|VARIABLE_ASSIGNMENT|[15]|ql|{"query":"SELECT Id, Name FROM (12 more) ..."}|0x7ad26720
06:08:29.7 (73976447)|VARIABLE_SCOPE_BEGIN|[15]|totalNumRecords|Integer|false|false
06:08:29.7 (73980799)|VARIABLE_ASSIGNMENT|[15]|totalNumRecords|44
06:08:29.7 (73983258)|VARIABLE_SCOPE_BEGIN|[15]|queryMoreSize|Integer|false|false
06:08:29.7 (73986286)|VARIABLE_ASSIGNMENT|[15]|queryMoreSize|49956
06:08:29.7 (74061989)|HEAP_ALLOCATE|[10]|Bytes:28
06:08:29.7 (74098765)|METHOD_ENTRY|[10]||Database.QueryLocatorIterator.hasNext()
06:08:29.7 (74239608)|METHOD_EXIT|[10]||Database.QueryLocatorIterator.hasNext()
06:08:29.7 (74249803)|METHOD_ENTRY|[10]||Database.QueryLocatorIterator.next()
06:08:29.7 (74344389)|METHOD_EXIT|[10]||Database.QueryLocatorIterator.next()
06:08:29.7 (74354190)|VARIABLE_SCOPE_BEGIN|[10]|c|Opportunity|true|false
06:08:29.7 (74375065)|VARIABLE_ASSIGNMENT|[10]|c|{"s":1,"v":{"Id":"00636000003LPvJAAW","Name":"Hotal Opportunity"}}|0x67c402c1
06:08:29.7 (74379890)|STATEMENT_EXECUTE|[10]
06:08:29.7 (74381482)|STATEMENT_EXECUTE|[12]
