36.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WORKFLOW,INFO
04:28:02.0 (119775)|EXECUTION_STARTED
04:28:02.0 (184672)|CODE_UNIT_STARTED|[EXTERNAL]|06636000002n7XB|VF: /apex/DraftsToPersonTable
04:28:02.0 (3776936)|CODE_UNIT_STARTED|[EXTERNAL]|01p360000074pQr|DraftsToPersons <init>
04:28:02.0 (3794334)|SYSTEM_MODE_ENTER|true
04:28:02.0 (4312041)|HEAP_ALLOCATE|[72]|Bytes:3
04:28:02.0 (4361518)|HEAP_ALLOCATE|[77]|Bytes:152
04:28:02.0 (4380893)|HEAP_ALLOCATE|[342]|Bytes:408
04:28:02.0 (4403237)|HEAP_ALLOCATE|[355]|Bytes:408
04:28:02.0 (4424287)|HEAP_ALLOCATE|[467]|Bytes:48
04:28:02.0 (4459021)|HEAP_ALLOCATE|[139]|Bytes:6
04:28:02.0 (4558969)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
04:28:02.0 (4565366)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:144
04:28:02.0 (4568464)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:21
04:28:02.0 (4583720)|METHOD_ENTRY|[1]|01p360000074pQr|DraftsToPersons.DraftsToPersons()
04:28:02.0 (4588158)|STATEMENT_EXECUTE|[1]
04:28:02.0 (4594449)|STATEMENT_EXECUTE|[1]
04:28:02.0 (4631804)|HEAP_ALLOCATE|[50]|Bytes:5
04:28:02.0 (4653610)|HEAP_ALLOCATE|[56]|Bytes:5
04:28:02.0 (4663595)|HEAP_ALLOCATE|[64]|Bytes:7
04:28:02.0 (4687394)|SYSTEM_MODE_ENTER|false
04:28:02.0 (4703370)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
04:28:02.0 (4708234)|STATEMENT_EXECUTE|[67]
04:28:02.0 (4713021)|SYSTEM_MODE_EXIT|false
04:28:02.0 (4723324)|METHOD_EXIT|[1]|DraftsToPersons
04:28:02.0 (4729565)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:20
04:28:02.0 (4737002)|VARIABLE_SCOPE_BEGIN|[7]|this|DraftsToPersons|true|false
04:28:02.0 (4798417)|VARIABLE_ASSIGNMENT|[7]|this|{}|0x2e715ab4
04:28:02.0 (4811560)|SYSTEM_MODE_ENTER|false
04:28:02.0 (4816817)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
04:28:02.0 (4820424)|STATEMENT_EXECUTE|[1]
04:28:02.0 (4823082)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
04:28:02.0 (4825248)|STATEMENT_EXECUTE|[2]
04:28:02.0 (4827607)|STATEMENT_EXECUTE|[3]
04:28:02.0 (4828908)|STATEMENT_EXECUTE|[4]
04:28:02.0 (4830040)|STATEMENT_EXECUTE|[5]
04:28:02.0 (4839843)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:6
04:28:02.0 (4863510)|STATEMENT_EXECUTE|[8]
04:28:02.0 (4869255)|SYSTEM_MODE_EXIT|false
04:28:02.0 (4889507)|CODE_UNIT_FINISHED|DraftsToPersons <init>
04:28:02.0 (4936771)|CODE_UNIT_STARTED|[EXTERNAL]|01p360000074pQr|DraftsToPersons get(Drafts)
04:28:02.0 (4945763)|SYSTEM_MODE_ENTER|true
04:28:02.0 (4962925)|CODE_UNIT_STARTED|[EXTERNAL]|01p360000074pQr|Drafts
04:28:02.0 (4980368)|CODE_UNIT_FINISHED|Drafts
04:28:02.0 (4996346)|CODE_UNIT_FINISHED|DraftsToPersons get(Drafts)
04:28:02.0 (5190471)|CODE_UNIT_STARTED|[EXTERNAL]|01p360000074pQr|DraftsToPersons get(Persons)
04:28:02.0 (5201091)|SYSTEM_MODE_ENTER|true
04:28:02.0 (5221419)|CODE_UNIT_STARTED|[EXTERNAL]|01p360000074pQr|DraftsToPersons invoke(getPersons)
04:28:02.0 (5256449)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:20
04:28:02.0 (5263507)|VARIABLE_SCOPE_BEGIN|[22]|this|DraftsToPersons|true|false
04:28:02.0 (5282214)|VARIABLE_ASSIGNMENT|[22]|this|{}|0x2e715ab4
04:28:02.0 (5298304)|SYSTEM_MODE_ENTER|false
04:28:02.0 (5303550)|HEAP_ALLOCATE|[24]|Bytes:5
04:28:02.0 (5307596)|STATEMENT_EXECUTE|[23]
04:28:02.0 (5352955)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this|{}|0x2e715ab4
04:28:02.0 (5365296)|STATEMENT_EXECUTE|[25]
04:28:02.0 (5366908)|STATEMENT_EXECUTE|[26]
04:28:02.0 (5370866)|HEAP_ALLOCATE|[26]|Bytes:41
04:28:02.0 (5379940)|HEAP_ALLOCATE|[26]|Bytes:4
04:28:02.0 (5607443)|SOQL_EXECUTE_BEGIN|[26]|Aggregations:0|SELECT id, Name FROM Person__c LIMIT 1000
04:28:02.0 (7966257)|SOQL_EXECUTE_END|[26]|Rows:2
04:28:02.0 (7981917)|HEAP_ALLOCATE|[26]|Bytes:12
