36.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WORKFLOW,INFO
03:17:37.0 (89438)|EXECUTION_STARTED
03:17:37.0 (137830)|CODE_UNIT_STARTED|[EXTERNAL]|06636000002n6IF|VF: /apex/AccountTabWrap
03:17:37.0 (4320632)|CODE_UNIT_STARTED|[EXTERNAL]|01p360000074iI2|AccountTableWrapper <init>
03:17:37.0 (4337986)|SYSTEM_MODE_ENTER|true
03:17:37.0 (4881691)|HEAP_ALLOCATE|[72]|Bytes:3
03:17:37.0 (4945889)|HEAP_ALLOCATE|[77]|Bytes:152
03:17:37.0 (4968702)|HEAP_ALLOCATE|[342]|Bytes:408
03:17:37.0 (4988397)|HEAP_ALLOCATE|[355]|Bytes:408
03:17:37.0 (5007141)|HEAP_ALLOCATE|[467]|Bytes:48
03:17:37.0 (5054556)|HEAP_ALLOCATE|[139]|Bytes:6
03:17:37.0 (5146213)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:24
03:17:37.0 (5151531)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:120
03:17:37.0 (5154327)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:15
03:17:37.0 (5174720)|METHOD_ENTRY|[1]|01p360000074iI2|AccountTableWrapper.AccountTableWrapper()
03:17:37.0 (5180540)|STATEMENT_EXECUTE|[1]
03:17:37.0 (5189859)|STATEMENT_EXECUTE|[1]
03:17:37.0 (5248100)|HEAP_ALLOCATE|[50]|Bytes:5
03:17:37.0 (5290746)|HEAP_ALLOCATE|[56]|Bytes:5
03:17:37.0 (5311690)|HEAP_ALLOCATE|[64]|Bytes:7
03:17:37.0 (5355560)|SYSTEM_MODE_ENTER|false
03:17:37.0 (5386392)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
03:17:37.0 (5392814)|STATEMENT_EXECUTE|[68]
03:17:37.0 (5394525)|STATEMENT_EXECUTE|[86]
03:17:37.0 (5402101)|SYSTEM_MODE_EXIT|false
03:17:37.0 (5419814)|METHOD_EXIT|[1]|AccountTableWrapper
03:17:37.0 (5427105)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:16
03:17:37.0 (5437618)|VARIABLE_SCOPE_BEGIN|[5]|this|AccountTableWrapper|true|false
03:17:37.0 (5501691)|VARIABLE_ASSIGNMENT|[5]|this|{}|0x1860885
03:17:37.0 (5515438)|SYSTEM_MODE_ENTER|false
03:17:37.0 (5521377)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
03:17:37.0 (5524989)|STATEMENT_EXECUTE|[1]
03:17:37.0 (5527732)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
03:17:37.0 (5529636)|STATEMENT_EXECUTE|[2]
03:17:37.0 (5531105)|STATEMENT_EXECUTE|[3]
03:17:37.0 (5532228)|STATEMENT_EXECUTE|[4]
03:17:37.0 (5542316)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:6
03:17:37.0 (5570917)|STATEMENT_EXECUTE|[5]
03:17:37.0 (5577152)|SYSTEM_MODE_EXIT|false
03:17:37.0 (5597533)|CODE_UNIT_FINISHED|AccountTableWrapper <init>
03:17:37.0 (5653911)|CODE_UNIT_STARTED|[EXTERNAL]|01p360000074iI2|AccountTableWrapper get(HeaderWrappers)
03:17:37.0 (5662349)|SYSTEM_MODE_ENTER|true
03:17:37.0 (5690106)|CODE_UNIT_STARTED|[EXTERNAL]|01p360000074iI2|AccountTableWrapper invoke(getHeaderWrappers)
03:17:37.0 (5729436)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:16
03:17:37.0 (5737655)|VARIABLE_SCOPE_BEGIN|[45]|this|AccountTableWrapper|true|false
03:17:37.0 (5758332)|VARIABLE_ASSIGNMENT|[45]|this|{}|0x1860885
03:17:37.0 (5775060)|SYSTEM_MODE_ENTER|false
03:17:37.0 (5780238)|HEAP_ALLOCATE|[47]|Bytes:5
03:17:37.0 (5784339)|STATEMENT_EXECUTE|[46]
03:17:37.0 (5843716)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this|{}|0x1860885
03:17:37.0 (5858699)|STATEMENT_EXECUTE|[48]
03:17:37.0 (5860554)|STATEMENT_EXECUTE|[49]
03:17:37.0 (5983313)|HEAP_ALLOCATE|[49]|Bytes:4
03:17:37.0 (6131832)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this|{}|0x1860885
03:17:37.0 (6165930)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
