36.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WORKFLOW,INFO
03:20:31.0 (98972)|EXECUTION_STARTED
03:20:31.0 (150958)|CODE_UNIT_STARTED|[EXTERNAL]|06636000002n6IF|VF: /apex/AccountTabWrap
03:20:31.0 (2327312)|CODE_UNIT_STARTED|[EXTERNAL]|01p360000074iI2|AccountTableWrapper <init>
03:20:31.0 (2344832)|SYSTEM_MODE_ENTER|true
03:20:31.0 (2877611)|HEAP_ALLOCATE|[72]|Bytes:3
03:20:31.0 (2921818)|HEAP_ALLOCATE|[77]|Bytes:152
03:20:31.0 (2938327)|HEAP_ALLOCATE|[342]|Bytes:408
03:20:31.0 (2962709)|HEAP_ALLOCATE|[355]|Bytes:408
03:20:31.0 (2978670)|HEAP_ALLOCATE|[467]|Bytes:48
03:20:31.0 (3014431)|HEAP_ALLOCATE|[139]|Bytes:6
03:20:31.0 (3123935)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:24
03:20:31.0 (3130292)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:120
03:20:31.0 (3132921)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:15
03:20:31.0 (3150917)|METHOD_ENTRY|[1]|01p360000074iI2|AccountTableWrapper.AccountTableWrapper()
03:20:31.0 (3157691)|STATEMENT_EXECUTE|[1]
03:20:31.0 (3169640)|STATEMENT_EXECUTE|[1]
03:20:31.0 (3205928)|HEAP_ALLOCATE|[50]|Bytes:5
03:20:31.0 (3231161)|HEAP_ALLOCATE|[56]|Bytes:5
03:20:31.0 (3240077)|HEAP_ALLOCATE|[64]|Bytes:7
03:20:31.0 (3265064)|SYSTEM_MODE_ENTER|false
03:20:31.0 (3282438)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
03:20:31.0 (3287609)|STATEMENT_EXECUTE|[68]
03:20:31.0 (3289460)|STATEMENT_EXECUTE|[86]
03:20:31.0 (3294037)|SYSTEM_MODE_EXIT|false
03:20:31.0 (3306466)|METHOD_EXIT|[1]|AccountTableWrapper
03:20:31.0 (3312451)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:16
03:20:31.0 (3322226)|VARIABLE_SCOPE_BEGIN|[5]|this|AccountTableWrapper|true|false
03:20:31.0 (3391169)|VARIABLE_ASSIGNMENT|[5]|this|{}|0x365e43ae
03:20:31.0 (3402287)|SYSTEM_MODE_ENTER|false
03:20:31.0 (3407110)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
03:20:31.0 (3410750)|STATEMENT_EXECUTE|[1]
03:20:31.0 (3413500)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
03:20:31.0 (3415601)|STATEMENT_EXECUTE|[2]
03:20:31.0 (3417480)|STATEMENT_EXECUTE|[3]
03:20:31.0 (3418486)|STATEMENT_EXECUTE|[4]
03:20:31.0 (3427937)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:6
03:20:31.0 (3455122)|STATEMENT_EXECUTE|[5]
03:20:31.0 (3458962)|SYSTEM_MODE_EXIT|false
03:20:31.0 (3479896)|CODE_UNIT_FINISHED|AccountTableWrapper <init>
03:20:31.0 (3546732)|CODE_UNIT_STARTED|[EXTERNAL]|01p360000074iI2|AccountTableWrapper get(Accounts)
03:20:31.0 (3555659)|SYSTEM_MODE_ENTER|true
03:20:31.0 (3585055)|CODE_UNIT_STARTED|[EXTERNAL]|01p360000074iI2|AccountTableWrapper invoke(getAccounts)
03:20:31.0 (3618176)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:16
03:20:31.0 (3626037)|VARIABLE_SCOPE_BEGIN|[9]|this|AccountTableWrapper|true|false
03:20:31.0 (3645831)|VARIABLE_ASSIGNMENT|[9]|this|{}|0x365e43ae
03:20:31.0 (3660387)|SYSTEM_MODE_ENTER|false
03:20:31.0 (3665244)|HEAP_ALLOCATE|[11]|Bytes:5
03:20:31.0 (3669507)|STATEMENT_EXECUTE|[10]
03:20:31.0 (3719434)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this|{}|0x365e43ae
